Player Name,Squad,Match Date,Format
K Nithish Kumar Reddy,India,2024-12-06,Test
Md Siraj,India,2024-12-06,Test
Rishabh Pant,India,2024-12-06,Test
JJ Bumrah,India,2024-12-06,Test
S Gill,India,2024-12-06,Test
K L Rahul,India,2024-12-06,Test
Ravi Ashwin,India,2024-12-06,Test
Yashasvi Bhupendra Jaiswal,India,2024-12-06,Test
Virat Kohli,India,2024-12-06,Test
Rohit Sharma,India,2024-12-06,Test
Harshit Rana,India,2024-12-06,Test
Travis Head,Australia,2024-12-06,Test
Mitchell Starc,Australia,2024-12-06,Test
Pat Cummins,Australia,2024-12-06,Test
SM Boland,Australia,2024-12-06,Test
Marnus Labuschagne,Australia,2024-12-06,Test
Nathan McSweeney,Australia,2024-12-06,Test
Alex Carey,Australia,2024-12-06,Test
UT Khawaja,Australia,2024-12-06,Test
Steve Smith,Australia,2024-12-06,Test
Mitchell Marsh,Australia,2024-12-06,Test
Nathan Lyon,Australia,2024-12-06,Test